,cluster,name,label
534,0,GO_0035549,GO
535,0,GO_0035556,GO
536,0,GO_0035584,GO
537,0,GO_0035609,GO
538,0,GO_0035621,GO
541,0,GO_0036211,GO
544,0,GO_0040011,GO
545,0,GO_0040015,GO
546,0,GO_0042073,GO
547,0,GO_0042127,GO
548,0,GO_0042157,GO
549,0,GO_0042221,GO
550,0,GO_0042256,GO
551,0,GO_0042264,GO
552,0,GO_0042297,GO
553,0,GO_0042327,GO
554,0,GO_0042359,GO
557,0,GO_0042420,GO
558,0,GO_0042426,GO
559,0,GO_0042445,GO
560,0,GO_0042446,GO
561,0,GO_0042461,GO
565,0,GO_0042661,GO
566,0,GO_0042664,GO
567,0,GO_0042730,GO
569,0,GO_0042742,GO
570,0,GO_0042981,GO
573,0,GO_0043066,GO
574,0,GO_0043122,GO
575,0,GO_0043137,GO
576,0,GO_0043149,GO
579,0,GO_0043170,GO
584,0,GO_0043268,GO
585,0,GO_0043320,GO
586,0,GO_0043367,GO
587,0,GO_0043401,GO
588,0,GO_0043412,GO
589,0,GO_0043436,GO
590,0,GO_0043534,GO
592,0,GO_0043933,GO
595,0,GO_0044029,GO
597,0,GO_0044237,GO
598,0,GO_0044238,GO
599,0,GO_0044248,GO
600,0,GO_0044249,GO
601,0,GO_0044255,GO
602,0,GO_0044260,GO
603,0,GO_0044262,GO
604,0,GO_0044265,GO
605,0,GO_0044267,GO
606,0,GO_0044271,GO
607,0,GO_0044281,GO
608,0,GO_0044282,GO
609,0,GO_0044283,GO
610,0,GO_0044344,GO
620,0,GO_0044539,GO
621,0,GO_0044782,GO
622,0,GO_0045047,GO
623,0,GO_0045085,GO
625,0,GO_0045109,GO
629,0,GO_0045292,GO
630,0,GO_0045415,GO
631,0,GO_0045595,GO
632,0,GO_0045664,GO
633,0,GO_0045668,GO
634,0,GO_0045766,GO
635,0,GO_0045777,GO
636,0,GO_0045780,GO
637,0,GO_0045787,GO
638,0,GO_0045823,GO
639,0,GO_0045861,GO
640,0,GO_0045879,GO
641,0,GO_0045880,GO
642,0,GO_0045887,GO
643,0,GO_0045920,GO
644,0,GO_0046033,GO
645,0,GO_0046086,GO
646,0,GO_0046146,GO
647,0,GO_0046166,GO
648,0,GO_0046210,GO
649,0,GO_0046337,GO
650,0,GO_0046426,GO
651,0,GO_0046427,GO
652,0,GO_0046483,GO
653,0,GO_0046513,GO
654,0,GO_0046549,GO
655,0,GO_0046620,GO
656,0,GO_0046627,GO
657,0,GO_0046718,GO
659,0,GO_0046952,GO
662,0,GO_0048009,GO
664,0,GO_0048193,GO
666,0,GO_0048468,GO
667,0,GO_0048513,GO
668,0,GO_0048518,GO
669,0,GO_0048519,GO
670,0,GO_0048522,GO
671,0,GO_0048523,GO
672,0,GO_0048583,GO
673,0,GO_0048584,GO
674,0,GO_0048585,GO
675,0,GO_0048646,GO
676,0,GO_0048660,GO
677,0,GO_0048675,GO
678,0,GO_0048712,GO
679,0,GO_0048731,GO
680,0,GO_0048732,GO
681,0,GO_0048741,GO
682,0,GO_0048747,GO
683,0,GO_0048821,GO
684,0,GO_0048856,GO
685,0,GO_0048869,GO
686,0,GO_0048870,GO
687,0,GO_0048925,GO
688,0,GO_0050667,GO
689,0,GO_0050767,GO
690,0,GO_0050775,GO
691,0,GO_0050789,GO
692,0,GO_0050793,GO
693,0,GO_0050794,GO
694,0,GO_0050862,GO
695,0,GO_0050877,GO
696,0,GO_0050890,GO
697,0,GO_0050896,GO
698,0,GO_0050910,GO
699,0,GO_0050982,GO
700,0,GO_0051017,GO
701,0,GO_0051024,GO
702,0,GO_0051049,GO
703,0,GO_0051058,GO
704,0,GO_0051090,GO
705,0,GO_0051092,GO
706,0,GO_0051093,GO
707,0,GO_0051101,GO
708,0,GO_0051128,GO
709,0,GO_0051130,GO
710,0,GO_0051156,GO
711,0,GO_0051171,GO
712,0,GO_0051173,GO
713,0,GO_0051179,GO
714,0,GO_0051186,GO
715,0,GO_0051188,GO
717,0,GO_0051216,GO
718,0,GO_0051234,GO
719,0,GO_0051239,GO
720,0,GO_0051240,GO
721,0,GO_0051241,GO
722,0,GO_0051246,GO
723,0,GO_0051252,GO
724,0,GO_0051258,GO
726,0,GO_0051292,GO
727,0,GO_0051301,GO
728,0,GO_0051402,GO
729,0,GO_0051492,GO
730,0,GO_0051569,GO
731,0,GO_0051607,GO
732,0,GO_0051641,GO
733,0,GO_0051649,GO
734,0,GO_0051660,GO
735,0,GO_0051716,GO
736,0,GO_0051726,GO
737,0,GO_0051865,GO
738,0,GO_0051873,GO
739,0,GO_0051876,GO
740,0,GO_0051881,GO
741,0,GO_0051902,GO
742,0,GO_0051930,GO
743,0,GO_0051960,GO
744,0,GO_0055072,GO
745,0,GO_0055088,GO
746,0,GO_0060049,GO
747,0,GO_0060070,GO
748,0,GO_0060087,GO
750,0,GO_0060096,GO
751,0,GO_0060164,GO
753,0,GO_0060255,GO
